iso3,country,hdicode,region,gii_2010,gii_2019,difference_2010_2019
SYR,Syrian Arab Republic,Medium,AS,0.509,0.465,0.044
TCD,Chad,Low,SSA,0.747,0.69,0.057
TGO,Togo,Low,SSA,0.621,0.588,0.033
THA,Thailand,Very High,EAP,0.378,0.335,0.043
TJK,Tajikistan,Medium,ECA,0.343,0.298,0.045
TKM,Turkmenistan,High,ECA,0.209,0.18,0.029
TLS,Timor-Leste,Medium,EAP,0.453,0.38,0.073
TON,Tonga,High,EAP,0.643,0.367,0.276
TTO,Trinidad and Tobago,Very High,LAC,0.367,0.344,0.023
TUN,Tunisia,High,AS,0.29,0.27,0.02
TUR,Turkey,Very High,ECA,0.422,0.277,0.145
TUV,Tuvalu,Medium,EAP,,,n/a
TZA,Tanzania (United Republic of),Low,SSA,0.581,0.561,0.02
UGA,Uganda,Low,SSA,0.561,0.53,0.031
UKR,Ukraine,High,ECA,0.325,0.205,0.12
URY,Uruguay,Very High,LAC,0.321,0.253,0.068
USA,United States,Very High,,0.248,0.189,0.059
UZB,Uzbekistan,High,ECA,0.276,0.268,0.008
VCT,Saint Vincent and the Grenadines,High,LAC,,0.41,n/a
VEN,Venezuela (Bolivarian Republic of),Medium,LAC,0.493,0.492,0.001
VNM,Viet Nam,High,EAP,0.315,0.305,0.01
VUT,Vanuatu,Medium,EAP,,,n/a
WSM,Samoa,High,EAP,,0.405,n/a
YEM,Yemen,Low,AS,0.798,0.785,0.013
ZAF,South Africa,High,SSA,0.44,0.41,0.03
ZMB,Zambia,Medium,SSA,0.586,0.534,0.052
ZWE,Zimbabwe,Medium,SSA,0.592,0.533,0.059
ZZA.VHHD,Very high human development,,,0.231,0.162,0.069
ZZB.HHD,High human development,,,0.381,0.332,0.049
ZZC.MHD,Medium human development,,,0.562,0.496,0.066
ZZD.LHD,Low human development,,,0.617,0.581,0.036
ZZE.AS,Arab States,,,0.585,0.538,0.047
ZZF.EAP,East Asia and the Pacific,,,0.375,0.337,0.038
ZZG.ECA,Europe and Central Asia,,,0.315,0.239,0.076
ZZH.LAC,Latin America and the Caribbean,,,0.437,0.388,0.049
ZZI.SA,South Asia,,,0.569,0.505,0.064
ZZJ.SSA,Sub-Saharan Africa,,,0.602,0.573,0.029
ZZK.WORLD,World,,,0.504,0.465,0.039
